locationid,location,parameter,value,dateutc,datelocal,unit,latitude,longitude,country,city,ismobile,isanalysis,entity,sensortype
1092284,Wellington Place (elev: 90m),pm10,17.183333333333334,2023-12-05T17:00:00+00:00,2023-12-05T12:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pressure,995.5693333333332,2023-12-05T17:00:00+00:00,2023-12-05T12:00:00-05:00,mb,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm1,11.21,2023-12-05T17:00:00+00:00,2023-12-05T12:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um025,0.0513333333333333,2023-12-05T17:00:00+00:00,2023-12-05T12:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um050,0.0166666666666666,2023-12-05T17:00:00+00:00,2023-12-05T12:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),voc,81.90333333333334,2023-12-05T17:00:00+00:00,2023-12-05T12:00:00-05:00,iaq,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),temperature,50.6,2023-12-05T17:00:00+00:00,2023-12-05T12:00:00-05:00,c,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um005,4.763666666666665,2023-12-05T16:00:00+00:00,2023-12-05T11:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um003,16.465999999999998,2023-12-05T16:00:00+00:00,2023-12-05T11:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm25,14.67333333333333,2023-12-05T16:00:00+00:00,2023-12-05T11:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm10,16.830000000000002,2023-12-05T16:00:00+00:00,2023-12-05T11:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um010,0.6233333333333333,2023-12-05T16:00:00+00:00,2023-12-05T11:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
